Project Organization,Project Organization Name,GL Project Organization Number,Project Owning Department,Project Owning Division,Project Owning Unit,Project Owning Unit Code
SM.Knight Hem/Onc Admin 68151,SM.Knight Hem/Onc Admin,68151,OHSU Knight Cancer Institute,,School of Medicine,SOM
VI.Training Grants 45303,VI.Training Grants,45303,Vollum Institute,,Vice President for Research,VPR
SM.HRSA Poison Control and HRSA Bioterrorism Grants 63331,SM.HRSA Poison Control and HRSA Bioterrorism Grants,63331,Emergency Medicine,Poison Control Center,School of Medicine,SOM
SE.ESE Center For Coastal and Land Margin 56315,SE.ESE Center For Coastal and Land Margin,56315,Environmental & Biomolecular Systems,Center for Coastal & Land Margins Research,Oregon Graduate Institute,OGI
"SM.Endocrinology, Section of Bone & Mineral 63935","SM.Endocrinology, Section of Bone & Mineral",63935,Medicine,Endo/Diab/Clin Nutrition,School of Medicine,SOM
VI.Almers 45525,VI.Almers,45525,Vollum Institute,,Vice President for Research,VPR
SM.IDD Speech 42256,SM.IDD Speech,42256,Institute on Development & Disability,,School of Medicine,SOM
SM.PA AP Disc/Grafe 65438,SM.PA AP Disc/Grafe,65438,Pathology,Anatomical Pathology,School of Medicine,SOM
VI.Soderling 45519,VI.Soderling,45519,Vollum Institute,,Vice President for Research,VPR
SM.Rad Onc Admin 66601,SM.Rad Onc Admin,66601,Radiation Oncology,Radiation Oncology,School of Medicine,SOM
PC.Surgery Svs 43310,PC.Surgery Svs,43310,Oregon National Primate Research Center,Division of Comparative Medicine,Vice President for Research,VPR
IT.IINF-ITG Infrastructure 88332,IT.IINF-ITG Infrastructure,88332,Legal,ITG,Administration,ADMIN
SM.Transplant Medicine Program 63980,SM.Transplant Medicine Program,63980,Medicine,Nephrology & Hypertension,School of Medicine,SOM
SM.Path Core 65424,SM.Path Core,65424,Pathology,,School of Medicine,SOM
VI.Von Gersdorff 45526,VI.Von Gersdorff,45526,Vollum Institute,,Vice President for Research,VPR
PC.RI Assay Svs 43454,PC.RI Assay Svs,43454,Oregon National Primate Research Center,Research Services,Vice President for Research,VPR
HC.Radiology Clinical Support 32207,HC.Radiology Clinical Support,32207,Hospital Administration,,OHSU Hospital,HOSP
SM.DOM Administration 63902,SM.DOM Administration,63902,Medicine,,School of Medicine,SOM
SM.Neu Administrative 64202,SM.Neu Administrative,64202,Neurology,,School of Medicine,SOM
SM.Knight Hem/Onc Palliative Care 68152,SM.Knight Hem/Onc Palliative Care,68152,OHSU Knight Cancer Institute,,School of Medicine,SOM
SD.Oral Pathology - Admin 54111,SD.Oral Pathology - Admin,54111,Administration (SOD),,School of Dentistry,SOD
SM.Pa Lm Disc 57 65457,SM.Pa Lm Disc 57,65457,Pathology,Laboratory Medicine,School of Medicine,SOM
NS.PI Morrison 47227,NS.PI Morrison,47227,Neurological Sciences Institute,,Vice President for Research,VPR
AA.Provost Office 83109,AA.Provost Office,83109,Academic Affairs,Provost Office,Provost,PROV
SE.CSE Center For Human Computer Communication 56135,SE.CSE Center For Human Computer Communication,56135,Computer Science & Electrical Engineering,Center for Human-Computer Communication,Oregon Graduate Institute,OGI
SM.Pathology 65411,SM.Pathology,65411,Pathology,,School of Medicine,SOM
NS.PI Alcher 47221,NS.PI Alcher,47221,Neurological Sciences Institute,,Vice President for Research,VPR
VI.Tissue Culture 45402,VI.Tissue Culture,45402,Vollum Institute,,Vice President for Research,VPR
"SN.Deans Office, School of Nursing 58621","SN.Deans Office, School of Nursing",58621,Administration (SON),,School of Nursing,SON
SN.Practice Development 58604,SN.Practice Development,58604,Administration (SON),,School of Nursing,SON
SM.MD/Phd MSTP Training Grant 67011,SM.MD/Phd MSTP Training Grant,67011,Administration (SOM),,School of Medicine,SOM
SM.CAR General/Preventative 63929,SM.CAR General/Preventative,63929,OHSU Knight Cardiovascular Institute,,School of Medicine,SOM
SM.Knight HemOnc Conf and Journal Club Admin 68128,SM.Knight HemOnc Conf and Journal Club Admin,68128,OHSU Knight Cancer Institute,,School of Medicine,SOM
SM.OCSSB-Beatty 69439,SM.OCSSB-Beatty,69439,OCSSB,,School of Medicine,SOM
SN.Clinical Skills Laboratory - PDX 58430,SN.Clinical Skills Laboratory - PDX,58430,Clinical Skills Laboratory - PDX,,School of Nursing,SON
SM.IFD Research 63971,SM.IFD Research,63971,Medicine,Infectious Diseases,School of Medicine,SOM
PC.AIDS SPF Infra DAR 43234,PC.AIDS SPF Infra DAR,43234,Oregon National Primate Research Center,Division of Comparative Medicine,Vice President for Research,VPR
IT.NwAE-Network Architecture & Engineering 88326,IT.NwAE-Network Architecture & Engineering,88326,Legal,ITG,Administration,ADMIN
SN.Acute Care NP/AGACNP 58420,SN.Acute Care NP/AGACNP,58420,Primary Care,,School of Nursing,SON
SM.BME Cordo 69433,SM.BME Cordo,69433,Science & Engineering (old),BME (DIS 01/12),School of Medicine,SOM
CD.Dental 42252,CD.Dental,42252,Institute on Development & Disability,,School of Medicine,SOM
FO.Design & Construction 89210,FO.Design & Construction,89210,Facilities,Capital Construction,Administration,ADMIN
SM.KCVI Radiochemistry Research Center 68349,SM.KCVI Radiochemistry Research Center,68349,OHSU Knight Cardiovascular Institute,,School of Medicine,SOM
SN.Faculty Release Time 58125,SN.Faculty Release Time,58125,Administration (SON),,School of Nursing,SON
RS.AN Care Transgenic Lab 85105,RS.AN Care Transgenic Lab,85105,Research Development and Administration,Comparative Medicine,Vice President for Research,VPR
HC.CWH Prenatal Diagnosis Program 31229,HC.CWH Prenatal Diagnosis Program,31229,Obstetrics & Gynecology (HOSP),,OHSU Hospital,HOSP
SM.Neu Academic 64205,SM.Neu Academic,64205,Neurology,,School of Medicine,SOM
RS.Research Integrity Office 85004,RS.Research Integrity Office,85004,Research Development and Administration,Research Integrity Office,Vice President for Research,VPR
