eCRIS Contract Nbr,Contract Type,Workflow State From,State Entry Dt,Workflow State To,State Exit Dt
DR00000003,Contract,Pending SPA setup,2013-11-05 20:21:41,OGA Setup Complete,2013-11-12 12:00:03
DR00000082,Contract,Pending SPA setup,2014-02-12 21:44:08,OGA Setup Complete,2014-02-25 12:00:02
DR00000429,Confidentiality Agreement,Waiting for OHSU Signatures,2014-09-08 20:54:52,CDA Fully Executed,2014-10-28 16:44:48
DR00001011,Confidentiality Agreement,Negotiation In Process,2015-09-16 19:29:27,In External Review,2015-09-16 21:08:11
DR00002465,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2017-10-10 16:14:01,Agreement Uploaded/ Waiting for Negotiation,2017-10-10 16:14:02
DR00000871,Amendment,Agreement Received (Waiting for Data Entry),2015-06-27 00:04:47,Agreement Uploaded/ Waiting for Negotiation,2015-06-27 00:04:47
DR00001201,Contract,Waiting for IRB Submission,2016-01-15 01:04:05,Negotiation In Process,2016-02-16 20:28:30
DR00000283,Confidentiality Agreement,Waiting for OHSU Signatures,2014-05-12 20:09:08,CDA Fully Executed,2014-06-10 22:34:25
DR00001746,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2016-10-07 22:51:20,Agreement Uploaded/ Waiting for Negotiation,2016-10-07 22:51:21
DR00002200,Contract,Agreement Received (Waiting for Data Entry),2017-05-17 17:09:36,Agreement Uploaded/ Waiting for Negotiation,2017-05-17 17:11:43
DR00000621,Contract,Agreement Received (Waiting for Data Entry),2015-02-03 21:24:03,Agreement Uploaded/ Waiting for Negotiation,2015-02-03 21:27:51
DR00001598,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2016-08-04 21:28:07,Agreement Uploaded/ Waiting for Negotiation,2016-08-04 21:28:07
DR00000831,Contract,Pending SPA setup,2015-09-24 23:21:01,OGA Setup Complete,2015-09-29 11:00:07
DR00000660,Amendment,Agreement Received (Waiting for Data Entry),2015-02-23 20:20:34,Agreement Uploaded/ Waiting for Negotiation,2015-02-23 20:20:34
DR00002218,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2017-05-25 23:50:22,Agreement Uploaded/ Waiting for Negotiation,2017-05-25 23:50:22
DR00002250,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2017-06-12 23:05:50,Agreement Uploaded/ Waiting for Negotiation,2017-06-12 23:05:50
DR00000066,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2013-11-14 17:51:22,Agreement Uploaded/ Waiting for Negotiation,2013-11-14 17:51:22
DR00002037,Contract,Agreement Received (Waiting for Data Entry),2017-03-14 22:12:34,Agreement Uploaded/ Waiting for Negotiation,2017-03-14 22:20:47
DR00001498,Confidentiality Agreement,In External Review,2016-07-06 20:30:55,In OHSU Review,2016-07-19 17:18:38
DR00000460,Contract,In External Review,2015-02-11 22:26:24,In OHSU Review,2015-02-13 20:46:44
DR00000582,Contract,In External Review,2015-03-09 16:54:13,In OHSU Review,2015-03-10 15:29:01
DR00001914,Confidentiality Agreement,In External Review,2017-01-12 22:42:48,In OHSU Review,2017-01-24 00:52:07
DR00000478,Amendment,Agreement Received (Waiting for Data Entry),2014-10-09 22:56:09,Agreement Uploaded/ Waiting for Negotiation,2014-10-09 22:56:09
DR00000636,Confidentiality Agreement,In External Review,2015-02-25 18:28:17,Negotiation Complete,2015-03-04 18:03:05
DR00000044,Confidentiality Agreement,In External Review,2013-10-23 20:06:47,Negotiation Complete,2013-11-13 18:45:09
DR00000990,Confidentiality Agreement,In External Review,2015-11-10 18:43:07,Negotiation Complete,2015-11-11 19:13:28
DR00000111,Contract,Pending SPA setup,2014-10-14 23:15:19,OGA Setup Complete,2014-10-23 11:00:05
DR00001027,Contract,In External Review,2016-03-18 21:52:55,In OHSU Review,2016-04-20 14:49:48
DR00001109,Contract,In External Review,2015-12-15 17:10:30,In OHSU Review,2016-01-08 17:46:10
DR00002048,Contract,In External Review,2018-01-22 18:38:44,In OHSU Review,2018-01-29 19:21:04
DR00000101,Confidentiality Agreement,In External Review,2014-01-13 17:51:06,In OHSU Review,2014-01-17 18:32:27
DR00001990,Confidentiality Agreement,In External Review,2017-02-24 19:46:16,In OHSU Review,2017-03-13 16:48:14
DR00002142,Contract,Waiting for OHSU Signatures,2017-06-08 19:59:05,Waiting for Sponsor Signature,2017-06-27 01:30:56
DR00001559,Confidentiality Agreement,Negotiation In Process,2016-07-21 22:57:21,Negotiation Complete,2016-07-28 21:50:42
DR00001483,Master Contract,Negotiation In Process,2016-06-01 18:52:03,Negotiation Complete,2016-06-01 18:53:27
DR00001288,Contract,Waiting for Final Budget,2016-04-07 21:43:50,IRB and Budget Approved,2016-04-08 15:25:44
DR00000171,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00002622,Amendment,Waiting for OHSU Signatures,2017-12-18 21:49:24,Waiting for Sponsor Signature,2017-12-19 17:58:33
DR00001046,Confidentiality Agreement,Negotiation In Process,2015-10-01 19:48:53,In External Review,2015-10-09 22:31:53
DR00001889,Confidentiality Agreement,Negotiation In Process,2016-12-23 19:50:49,Negotiation Complete,2016-12-23 19:51:15
DR00000447,Contract,Negotiation In Process,2014-11-08 00:08:19,In External Review,2014-11-08 00:18:13
DR00002116,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00000158,Contract,Negotiation In Process,2014-05-14 18:00:24,In External Review,2014-05-15 21:30:37
DR00002427,Confidentiality Agreement,Negotiation In Process,2017-09-21 17:04:03,In External Review,2017-09-21 17:04:46
DR00000727,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00001687,Contract,Negotiation In Process,2016-10-12 20:35:47,In External Review,2016-10-18 19:12:15
DR00001736,Amendment,In External Review,2016-11-08 20:58:22,Negotiation Complete,2016-12-03 02:03:02
DR00001776,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2016-10-21 20:26:16,Agreement Uploaded/ Waiting for Negotiation,2016-10-21 20:26:16
DR00002472,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2017-10-16 15:01:57,Agreement Uploaded/ Waiting for Negotiation,2017-10-16 15:01:57
DR00001189,Master Contract,Agreement Received (Waiting for Data Entry),2016-01-08 19:04:01,Agreement Uploaded/ Waiting for Negotiation,2016-01-08 19:04:02
DR00002209,Amendment,Agreement Received (Waiting for Data Entry),2017-05-19 19:40:55,Agreement Uploaded/ Waiting for Negotiation,2017-05-19 19:40:56
DR00002298,Confidentiality Agreement,In External Review,2017-07-18 16:14:29,Negotiation Complete,2017-07-18 18:44:08
DR00001008,Confidentiality Agreement,In External Review,2015-10-16 18:00:39,Negotiation Complete,2015-10-30 21:28:41
DR00002660,Confidentiality Agreement,In External Review,2018-01-11 20:07:51,Negotiation Complete,2018-01-12 22:15:15
DR00000137,Contract,Waiting for OHSU Signatures,2014-04-22 20:44:37,Waiting for Sponsor Signature,2014-05-06 23:09:41
DR00001621,Contract,Waiting for OHSU Signatures,2016-12-15 16:29:01,Waiting for Sponsor Signature,2016-12-23 17:14:42
DR00002649,Amendment,Waiting for OHSU Signatures,2018-01-09 20:39:03,Waiting for Sponsor Signature,2018-01-17 20:22:53
DR00000341,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000106,Contract,In External Review,2014-05-16 20:33:02,Waiting for Final Budget,2014-05-29 22:47:54
DR00001466,Amendment,In OHSU Review,2016-07-07 21:18:27,Negotiation Complete,2016-07-07 21:20:54
DR00002730,Confidentiality Agreement,In OHSU Review,2018-02-08 00:10:35,Negotiation Complete,2018-02-15 18:51:12
DR00001431,Confidentiality Agreement,In OHSU Review,2016-05-24 19:16:52,Negotiation Complete,2016-05-31 17:42:00
DR00002585,Confidentiality Agreement,Negotiation In Process,2017-12-04 22:04:20,In External Review,2017-12-05 23:28:10
DR00001120,Confidentiality Agreement,Negotiation In Process,2015-11-11 20:40:51,In External Review,2015-11-12 23:37:32
DR00002633,Amendment,Waiting for OHSU Signatures,2018-02-23 23:40:04,Waiting for Sponsor Signature,2018-03-12 20:50:29
DR00001728,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000109,Confidentiality Agreement,In External Review,2013-12-18 01:24:22,Withdrawn,2014-04-16 00:12:46
DR00000927,Amendment,In OHSU Review,2015-10-29 17:26:53,Negotiation Complete,2015-10-29 18:24:07
DR00002412,Confidentiality Agreement,In OHSU Review,2017-09-26 17:25:52,Negotiation Complete,2017-09-28 02:45:33
DR00001060,Amendment,In OHSU Review,2015-12-07 20:36:21,Negotiation Complete,2015-12-07 20:36:27
DR00001337,Amendment,Waiting for OHSU Signatures,2016-03-22 22:56:55,Amendment Fully Executed,2016-04-14 20:53:20
DR00001798,Confidentiality Agreement,In OHSU Review,2017-01-04 19:33:44,Negotiation Complete,2017-01-04 19:34:01
DR00001044,Confidentiality Agreement,In OHSU Review,2015-10-28 16:22:53,In External Review,2015-10-28 16:25:48
DR00002579,Contract,In OHSU Review,2017-12-13 17:23:25,Waiting for IRB Approval of Study,2017-12-13 17:23:32
DR00001278,Contract,In External Review,2016-04-13 21:15:03,In OHSU Review,2016-04-21 22:28:36
DR00000839,Confidentiality Agreement,In External Review,2015-06-26 23:38:55,Withdrawn,2015-07-01 17:00:19
DR00001249,Contract,Pending SPA setup,2016-04-01 18:34:36,OGA Setup Complete,2016-04-05 11:00:11
DR00000086,Contract,Pending SPA setup,2014-06-16 21:31:11,OGA Setup Complete,2014-06-19 11:00:04
DR00002406,Contract,Pending SPA setup,2018-03-05 23:04:01,OGA Setup Complete,2018-03-07 12:05:11
DR00000806,Confidentiality Agreement,In OHSU Review,2015-05-21 15:40:37,In External Review,2015-06-02 18:39:13
DR00000011,Contract,Negotiation In Process,2013-10-28 21:52:56,Waiting for IRB Approval of Study,2013-10-28 21:53:10
DR00001030,Contract,Negotiation In Process,2015-09-18 23:33:13,Waiting for IRB Approval of Study,2015-09-18 23:33:40
DR00002127,Subcontract,Initial,,Agreement Received (Waiting for Data Entry),
DR00000711,Confidentiality Agreement,In OHSU Review,2015-04-09 00:00:08,In External Review,2015-04-09 00:13:12
DR00001652,Contract,In OHSU Review,2016-12-13 20:26:04,In External Review,2016-12-23 19:57:16
DR00001368,Contract,Pending SPA setup,2016-09-13 20:10:44,OGA Setup Complete,2016-09-20 11:05:08
DR00000206,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00001453,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00002194,Contract,Negotiation In Process,2017-05-23 17:00:56,In External Review,2017-06-16 15:36:32
DR00002091,Contract,Negotiation In Process,2017-04-24 22:23:50,In External Review,2017-04-24 22:24:47
DR00002444,Contract,In External Review,2018-01-22 16:49:25,In OHSU Review,2018-02-02 17:49:12
DR00001972,Contract,In External Review,2018-02-15 00:17:25,In OHSU Review,2018-03-08 23:34:57
DR00001433,Confidentiality Agreement,In OHSU Review,2016-06-08 18:18:03,Negotiation Complete,2016-06-08 18:18:10
DR00002036,Contract,In OHSU Review,2018-02-21 21:36:54,IRB and Budget Approved,2018-02-21 21:37:03
DR00000680,Contract,In OHSU Review,2015-05-12 22:04:43,IRB and Budget Approved,2015-05-12 22:04:56
DR00002065,Contract,In OHSU Review,2017-09-11 17:46:51,Negotiation Complete,2017-10-05 21:56:12
DR00000943,Contract,Negotiation In Process,2015-08-12 17:42:30,In External Review,2015-08-12 20:52:46
DR00001349,Confidentiality Agreement,Negotiation In Process,2016-03-29 21:06:05,In External Review,2016-03-29 21:09:03
DR00000107,Contract,In OHSU Review,2014-01-22 19:46:22,In External Review,2014-01-22 21:34:47
DR00001462,Contract,Pending SPA setup,2016-10-28 17:11:08,OGA Setup Complete,2016-11-01 11:05:07
DR00000361,Contract,Pending SPA setup,2014-10-15 21:30:22,OGA Setup Complete,2014-10-24 11:00:06
DR00000147,Contract,In OHSU Review,2014-07-07 22:39:58,IRB and Budget Approved,2014-07-11 15:19:27
DR00000458,Contract,Waiting for OHSU Signatures,2014-11-21 16:21:01,Waiting for Sponsor Signature,2014-11-21 22:06:10
DR00001365,Confidentiality Agreement,In OHSU Review,2016-04-05 16:20:34,In External Review,2016-04-05 18:00:40
DR00002341,Confidentiality Agreement,In OHSU Review,2017-08-29 15:42:22,In External Review,2017-08-31 22:39:17
DR00002281,Confidentiality Agreement,In OHSU Review,2017-08-01 01:21:30,In External Review,2017-08-01 01:22:52
DR00000042,Contract,In OHSU Review,2014-05-12 20:31:40,In External Review,2014-05-29 23:49:44
DR00002193,Contract,Agreement Received (Waiting for Data Entry),2017-05-16 19:13:17,Agreement Uploaded/ Waiting for Negotiation,2017-05-16 19:23:46
DR00001088,Amendment,Agreement Received (Waiting for Data Entry),2015-10-28 18:45:16,Agreement Uploaded/ Waiting for Negotiation,2015-10-28 18:45:17
DR00001030,Contract,Waiting for IRB Approval of Study,2015-09-18 23:33:40,Waiting for Final Agreement from Sponsor,2015-09-18 23:33:49
DR00000835,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2015-06-02 21:11:35,Agreement Uploaded/ Waiting for Negotiation,2015-06-02 21:11:35
DR00000689,Contract,Agreement Received (Waiting for Data Entry),2015-03-06 18:57:26,Agreement Uploaded/ Waiting for Negotiation,2015-03-06 19:03:34
DR00002142,Contract,In OHSU Review,2017-05-24 20:19:10,Waiting for Final Budget,2017-05-24 20:19:18
DR00001364,Confidentiality Agreement,In OHSU Review,2016-04-12 20:41:24,In External Review,2016-04-13 16:32:16
DR00001254,Contract,In OHSU Review,2016-08-25 21:01:15,In External Review,2016-09-21 20:41:17
DR00000089,Contract,In OHSU Review,2014-01-07 15:32:25,Waiting for Final Budget,2014-01-07 15:35:56
DR00000690,Confidentiality Agreement,In OHSU Review,2015-04-10 18:50:29,In External Review,2015-04-10 20:18:15
DR00002373,Confidentiality Agreement,In OHSU Review,2017-09-14 17:20:05,Negotiation Complete,2017-09-14 17:20:10
DR00002349,Contract,In External Review,2017-09-28 03:47:05,IRB and Budget Approved,2017-11-21 22:56:54
DR00001359,Amendment,Agreement Received (Waiting for Data Entry),2016-03-30 00:35:20,Agreement Uploaded/ Waiting for Negotiation,2016-03-30 00:35:20
DR00002436,Confidentiality Agreement,In External Review,2017-10-02 22:01:05,Negotiation Complete,2017-10-03 21:28:27
DR00000695,Confidentiality Agreement,In External Review,2015-03-12 16:38:25,In OHSU Review,2015-03-13 15:19:14
DR00001123,Contract,In OHSU Review,2016-01-29 19:04:06,Waiting for IRB Approval of Study,2016-01-29 20:23:54
DR00002042,Contract,In OHSU Review,2017-05-05 19:02:59,In External Review,2017-05-05 19:50:42
DR00002415,Confidentiality Agreement,In OHSU Review,2017-09-18 17:36:59,Negotiation Complete,2017-09-19 23:35:34
DR00000277,Confidentiality Agreement,Negotiation In Process,2014-05-08 21:43:50,In External Review,2014-05-08 21:45:38
DR00001219,Contract,In OHSU Review,2016-04-21 17:59:47,IRB and Budget Approved,2016-04-21 20:08:33
DR00002768,Confidentiality Agreement,In External Review,2018-02-21 21:34:55,In OHSU Review,2018-02-22 17:18:58
DR00001913,Confidentiality Agreement,In External Review,2017-01-17 19:00:56,In OHSU Review,2017-01-18 22:29:58
DR00001621,Contract,In External Review,2016-11-18 21:52:53,In OHSU Review,2016-12-03 01:51:41
DR00002126,Confidentiality Agreement,In External Review,2017-06-14 18:08:12,In OHSU Review,2017-07-11 22:18:30
DR00001316,Contract,Pending SPA setup,2016-06-14 18:09:15,OGA Setup Complete,2016-06-15 11:05:04
DR00001844,Contract,Pending SPA setup,2017-04-17 19:55:44,OGA Setup Complete,2017-04-19 11:05:10
DR00000309,Contract,Pending SPA setup,2014-10-07 18:21:36,OGA Setup Complete,2014-10-29 11:00:03
DR00000733,Contract,In External Review,2015-04-08 22:18:44,Waiting for IRB Approval of Study,2015-04-10 17:55:55
DR00001773,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00002098,Contract,In External Review,2017-05-10 23:40:25,In OHSU Review,2017-05-23 18:06:30
DR00001846,Confidentiality Agreement,In External Review,2016-12-06 15:41:29,In OHSU Review,2016-12-12 23:06:04
DR00000743,Contract,In External Review,2015-07-01 21:55:23,In OHSU Review,2015-07-27 20:42:02
DR00002496,Confidentiality Agreement,In External Review,2017-12-06 00:37:21,In OHSU Review,2017-12-19 00:17:31
DR00000210,Contract,Waiting for OHSU Signatures,2014-07-30 17:07:57,Pending SPA setup,2014-07-30 20:56:56
DR00001372,Confidentiality Agreement,Negotiation Complete,2016-04-13 20:56:27,Waiting for OHSU Signatures,2016-04-13 21:00:59
DR00001841,Contract,Waiting for Final Agreement from Sponsor,2017-01-17 17:15:39,Waiting for OHSU Signatures,2017-02-01 22:39:57
DR00001090,Contract,Waiting for Final Agreement from Sponsor,2016-01-20 20:06:44,Waiting for OHSU Signatures,2016-01-20 21:20:43
DR00001757,Contract,Waiting for OHSU Signatures,2017-04-26 19:09:28,Waiting for Sponsor Signature,2017-05-04 20:54:33
DR00001258,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001881,Contract,In External Review,2017-05-31 18:03:36,In OHSU Review,2017-07-19 18:32:14
DR00000217,Confidentiality Agreement,In External Review,2014-05-07 17:23:38,In OHSU Review,2014-05-08 15:51:57
DR00002388,Contract,Agreement Uploaded/ Waiting for Negotiation,2017-08-28 23:59:42,Withdrawn,2017-10-18 18:11:03
DR00001444,Contract,Negotiation Complete,2016-05-17 21:07:45,Waiting for OHSU Signatures,2016-05-17 21:11:24
DR00001877,Confidentiality Agreement,In External Review,2017-01-20 00:33:40,In OHSU Review,2017-01-24 18:41:04
DR00000828,Confidentiality Agreement,Negotiation Complete,2015-06-16 18:12:57,Waiting for Sponsor Signature,2015-06-16 20:36:56
DR00001133,Confidentiality Agreement,Waiting for Final Agreement from Sponsor,2015-11-24 19:55:33,Waiting for Sponsor Signature,2015-11-24 19:58:43
DR00000591,Confidentiality Agreement,Negotiation Complete,2015-01-27 19:50:08,Waiting for Final Agreement from Sponsor,2015-01-27 19:50:15
DR00002224,Amendment,Negotiation Complete,2017-07-19 17:46:55,Waiting for Final Agreement from Sponsor,2017-07-19 17:47:00
DR00001496,Contract,IRB and Budget Approved,2016-09-08 21:05:15,Waiting for Final Agreement from Sponsor,2016-09-08 21:05:21
DR00002613,Confidentiality Agreement,Negotiation Complete,2017-12-14 18:46:41,Waiting for Final Agreement from Sponsor,2017-12-14 18:46:47
DR00002672,Confidentiality Agreement,Negotiation Complete,2018-01-19 17:28:31,Waiting for Sponsor Signature,2018-01-22 23:12:40
DR00002181,Contract,Waiting for OHSU Signatures,2017-08-04 15:56:19,Waiting for Sponsor Signature,2017-08-21 22:37:26
DR00001640,Confidentiality Agreement,Negotiation In Process,2016-08-24 19:23:28,In External Review,2016-08-24 19:24:09
DR00000758,Confidentiality Agreement,Negotiation In Process,2015-04-20 23:49:36,In External Review,2015-04-21 00:12:33
DR00002188,Amendment,In External Review,2017-05-15 23:40:41,In OHSU Review,2017-05-16 22:21:39
DR00001378,Contract,In External Review,2016-05-31 17:35:48,In OHSU Review,2016-07-05 21:54:27
DR00002319,Amendment,Agreement Uploaded/ Waiting for Negotiation,2017-07-25 22:56:20,Negotiation In Process,2017-08-18 17:52:52
DR00000385,Contract,Agreement Uploaded/ Waiting for Negotiation,2014-08-08 22:19:34,Negotiation In Process,2014-10-22 16:12:39
DR00000241,Contract,Agreement Uploaded/ Waiting for Negotiation,2014-04-15 21:01:34,Negotiation In Process,2014-05-29 22:10:52
DR00000212,Confidentiality Agreement,Agreement Uploaded/ Waiting for Negotiation,2014-03-26 22:16:32,Negotiation In Process,2014-04-10 18:13:27
DR00000687,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00000334,Contract,Waiting for Sponsor Signature,2014-09-19 22:56:08,Pending SPA setup,2014-09-19 23:06:05
DR00000190,Confidentiality Agreement,Negotiation Complete,2014-03-10 22:04:12,CDA Fully Executed,2014-03-10 22:08:06
DR00000734,Confidentiality Agreement,Waiting for Sponsor Signature,2015-06-15 23:26:44,CDA Fully Executed,2015-06-15 23:28:20
DR00001760,Confidentiality Agreement,Waiting for Sponsor Signature,2016-11-28 17:37:02,CDA Fully Executed,2016-12-07 22:10:05
DR00000960,Confidentiality Agreement,Waiting for Sponsor Signature,2015-08-26 18:09:41,CDA Fully Executed,2015-09-21 22:00:09
DR00002635,Amendment,Waiting for Sponsor Signature,2018-02-23 22:10:19,Amendment Fully Executed,2018-03-09 00:46:48
DR00000250,Contract,Waiting for Sponsor Signature,2014-12-09 00:16:57,Pending SPA setup,2014-12-17 19:50:48
DR00001985,Confidentiality Agreement,Negotiation Complete,2017-03-03 00:04:40,Waiting for Final Agreement from Sponsor,2017-03-03 00:04:45
DR00000817,Contract,Waiting for IRB Submission,2015-05-21 20:15:37,Negotiation In Process,2015-07-05 21:40:52
DR00001616,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00001141,Contract,Negotiation In Process,2015-12-22 23:00:39,In External Review,2016-04-08 22:45:43
DR00000623,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00000553,Confidentiality Agreement,Negotiation In Process,2014-12-04 20:18:15,In External Review,2014-12-04 20:24:04
DR00000806,Confidentiality Agreement,Negotiation In Process,2015-05-15 21:48:31,In External Review,2015-05-15 21:51:15
DR00000413,Contract,Waiting for Final Budget,2014-10-05 05:43:10,Waiting for OHSU Signatures,2014-10-15 00:23:22
DR00001526,Confidentiality Agreement,In External Review,2016-07-01 17:40:03,In OHSU Review,2016-07-15 01:03:48
DR00002736,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2018-02-01 23:42:05,Agreement Uploaded/ Waiting for Negotiation,2018-02-01 23:42:05
DR00002377,Contract,Agreement Received (Waiting for Data Entry),2017-08-18 18:23:09,Agreement Uploaded/ Waiting for Negotiation,2017-08-18 18:26:19
DR00000364,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00001450,Confidentiality Agreement,Negotiation In Process,2016-05-13 20:08:06,In External Review,2016-05-20 18:48:44
DR00002512,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00000490,Contract,Waiting for Final Agreement from Sponsor,2014-12-17 17:59:48,Waiting for OHSU Signatures,2015-01-27 18:21:24
DR00001876,Confidentiality Agreement,Negotiation Complete,2016-12-23 00:21:56,CDA Fully Executed,2016-12-23 00:22:59
DR00002194,Contract,Waiting for Sponsor Signature,2017-11-15 22:38:34,Pending SPA setup,2017-12-18 21:58:48
DR00001982,Amendment,Waiting for Sponsor Signature,2017-03-03 19:43:11,Amendment Fully Executed,2017-03-20 21:01:41
DR00000001,Contract,Agreement Received (Waiting for Data Entry),2013-07-30 17:42:16,Agreement Uploaded/ Waiting for Negotiation,2013-07-30 17:52:24
DR00000160,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2014-02-24 19:12:53,Agreement Uploaded/ Waiting for Negotiation,2014-02-24 19:12:53
DR00002516,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2017-10-31 21:19:22,Agreement Uploaded/ Waiting for Negotiation,2017-10-31 21:19:23
DR00000600,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2015-01-16 23:18:53,Agreement Uploaded/ Waiting for Negotiation,2015-01-16 23:18:53
DR00000069,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2013-11-18 22:12:32,Agreement Uploaded/ Waiting for Negotiation,2013-11-18 22:12:33
DR00002579,Contract,Agreement Received (Waiting for Data Entry),2017-11-28 21:11:02,Agreement Uploaded/ Waiting for Negotiation,2017-11-28 21:15:23
DR00000062,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2013-11-12 19:22:23,Agreement Uploaded/ Waiting for Negotiation,2013-11-12 19:22:23
DR00001306,Amendment,Waiting for Final Agreement from Sponsor,2016-04-01 22:26:43,Waiting for OHSU Signatures,2016-04-27 21:04:20
DR00001081,Contract,Waiting for Final Agreement from Sponsor,2016-02-04 00:00:24,Waiting for OHSU Signatures,2016-02-11 17:10:08
DR00000500,Contract,IRB and Budget Approved,2015-01-23 22:49:47,Waiting for OHSU Signatures,2015-01-23 22:58:53
DR00001695,Amendment,Agreement Uploaded/ Waiting for Negotiation,2016-09-21 22:22:28,Negotiation In Process,2016-10-07 20:56:13
DR00000052,Contract,Waiting for IRB Submission,2013-10-28 23:58:29,Negotiation In Process,2014-01-06 17:46:03
DR00001586,Contract,Agreement Received (Waiting for Data Entry),2016-08-02 00:04:47,Agreement Uploaded/ Waiting for Negotiation,2016-08-02 00:06:05
DR00001170,Contract,Waiting for IRB Approval of Study,2016-02-02 21:11:18,Waiting for Final Agreement from Sponsor,2016-02-02 21:20:04
DR00001916,Amendment,In External Review,2017-02-02 19:52:35,Negotiation Complete,2017-02-02 19:53:43
DR00002550,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2017-11-14 18:51:06,Agreement Uploaded/ Waiting for Negotiation,2017-11-14 18:51:06
DR00000461,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2014-09-29 23:30:07,Agreement Uploaded/ Waiting for Negotiation,2014-09-29 23:30:07
DR00000649,Confidentiality Agreement,In External Review,2015-02-19 23:04:49,Negotiation Complete,2015-03-25 23:35:57
DR00001964,Contract,Agreement Received (Waiting for Data Entry),2017-02-08 21:50:17,Agreement Uploaded/ Waiting for Negotiation,2017-02-08 21:51:27
DR00000149,Confidentiality Agreement,Negotiation In Process,2014-02-13 21:36:10,In External Review,2014-02-13 23:40:27
DR00002467,Contract,Waiting for Final Budget,2017-12-13 22:34:21,Waiting for OHSU Signatures,2017-12-14 18:08:36
DR00001888,Contract,Waiting for Final Budget,2017-06-23 13:56:24,Waiting for OHSU Signatures,2017-11-27 20:43:33
DR00001228,Contract,Waiting for Final Budget,2016-04-20 17:01:03,Waiting for OHSU Signatures,2016-04-20 17:03:04
DR00000719,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001545,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000647,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000670,Confidentiality Agreement,In External Review,2015-04-13 18:34:18,Negotiation Complete,2015-04-16 19:18:36
DR00000708,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001317,Amendment,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000734,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00002521,Contract,Waiting for Final Budget,2017-12-12 22:39:16,IRB and Budget Approved,2017-12-19 22:44:27
DR00001129,Amendment,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000371,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001410,Master Contract,Negotiation In Process,2016-04-21 19:01:45,Negotiation Complete,2016-04-21 19:02:28
DR00000133,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001537,Amendment,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001168,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00002276,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00002134,Contract,In External Review,2017-10-27 21:42:36,In OHSU Review,2017-11-21 20:52:45
DR00001851,Confidentiality Agreement,In External Review,2016-12-29 17:37:03,In OHSU Review,2017-01-04 19:53:44
DR00000941,Contract,Agreement Received (Waiting for Data Entry),2015-07-31 00:03:19,Agreement Uploaded/ Waiting for Negotiation,2015-07-31 00:06:38
DR00002713,Amendment,Agreement Received (Waiting for Data Entry),2018-01-29 23:01:18,Agreement Uploaded/ Waiting for Negotiation,2018-01-29 23:01:18
