eCRIS Contract Nbr,IRB Nbr,CRS Study Nbr,Contract Type,Contract Name,Study Sponsor,Master Agreement Flag,Template Agreement Flag,Contract Funding Mechanism,Originating Agency,Preaward Contact,Principal Investigator,Subcontractee,Contract Status,Contract Status Change Dt,Executed Dt,Negotiation Complete Dt,Negotiation Start Dt,Created Dt,Pending SPA Setup Dt,Hold Time,Industrial Acct Nbr,CT.gov Primary Completion Dt,CT.gov Study Completion Dt,OHSU Multicenter Study Flag,Study Type,Award Org Name,Study Phase,Drug - IND,Ongoing Study Flag,Clinical Services Flag,Drug Study Flag,PI Initiated Flag,OHSU PI is Lead PI Flag,IRB Approval Dt,IRB Expiration Dt,Review Category,IRB Status Change Dt,IRB Termination Dt,Cancer Study Flag,IRB Study Submitted Dt,Clinical Trial Flag,Prospective Consent Flag
,STUDY00017070,CRS00003074,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,2017-05-02 07:00:00,2019-03-18 07:00:00,Expedited,2017-05-02 21:38:00,,No,2017-04-12 20:53:18,Yes,Yes
,IRB00006846,CRS00000492,,,,,,,,,,,,,,,,,,,,,,No,,SM.Peds Hemonc,Phase 1/Phase 2,No,Yes,Yes,Yes,No,No,2010-11-09 08:00:00,2014-09-17 07:00:00,Full Board,2014-03-07 00:09:30,2014-03-06 08:00:00,Yes,2010-10-14 18:06:07,,Yes
,IRB00008656,CRS00000800,,,,,,,,,,,,,,,,,,,,,,No,Observational,SM.PA AP Disc Gultekin,N/A,No,Yes,No,No,Yes,No,2012-08-20 07:00:00,2015-08-21 07:00:00,Expedited,2015-08-26 17:07:23,2015-08-26 07:00:00,Yes,2012-06-27 14:52:26,,No
,IRB00007398,CRS00001105,,,,,,,,,,,,,,,,,,,,,,No,Observational,SM.Otolaryngology,N/A,No,Yes,No,No,Yes,No,2011-05-22 07:00:00,2016-04-07 21:44:00,Expedited,2016-04-07 21:44:00,,Yes,2011-05-06 11:24:11,Yes,No
,IRB00011074,CRS00001188,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,2014-09-12 07:00:00,2018-06-26 07:00:00,Expedited,2017-11-11 12:42:00,,No,2014-08-29 16:57:34,No,Yes
,IRB00010207,CRS00001821,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,2015-10-30 07:00:00,2017-12-13 08:00:00,Expedited,2017-12-13 17:42:00,,No,2013-12-31 18:13:06,No,Yes
,STUDY00016849,CRS00002912,,,,,,,,,,,,,,,,,,,,,,No,Interventional,,N/A,No,No,No,No,Yes,No,2017-03-10 08:00:00,2019-01-30 08:00:00,Expedited,2017-03-11 00:00:00,,No,2017-01-24 00:36:44,Yes,Yes
,STUDY00015060,CRS00001954,,,,,,,,,,,,,,,,,,,,,,No,Observational,,N/A,No,No,No,No,Yes,No,2016-02-23 08:00:00,2019-01-04 08:00:00,Expedited,2016-02-23 20:38:00,,Yes,2015-09-01 17:39:15,No,No
,STUDY00016117,CRS00002510,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,2016-06-29 07:00:00,2018-05-21 07:00:00,Expedited,2016-06-29 21:25:00,,No,2016-06-14 20:35:36,Yes,Yes
,IRB00011949,CRS00001822,,,,,,,,,,,,,,,,,,,100096269,,,No,Interventional,,N/A,No,No,Yes,No,Yes,No,2016-01-28 08:00:00,2018-12-13 08:00:00,Full Board,2017-11-06 19:08:00,,No,2015-06-19 17:44:24,No,Yes
,STUDY00015071,CRS00001948,,,,,,,,,,,,,,,,,,,,,,No,Observational,,N/A,No,No,No,No,Yes,No,2015-09-02 07:00:00,2018-05-24 07:00:00,Expedited,2015-09-04 14:58:00,,Yes,2015-08-21 21:49:27,No,No
,IRB00008571,CRS00001065,,,,,,,,,,,,,,,,,,,,,,No,Observational,SM.Knight Hem/Onc CHM,N/A,No,Yes,No,No,Yes,No,2012-06-29 07:00:00,2018-05-25 07:00:00,Exempt,2017-11-11 11:11:00,,Yes,2012-05-18 12:54:57,No,No
,STUDY00016667,CRS00002947,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,Yes,No,No,No,2017-05-04 07:00:00,2019-03-21 07:00:00,Expedited,2017-05-04 19:47:00,,No,2017-02-09 19:27:18,No,Yes
,STUDY00016803,CRS00003571,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,Yes,Yes,No,No,2018-01-26 08:00:00,2018-12-27 08:00:00,Full Board,2018-01-30 18:27:00,,No,2017-11-22 23:12:16,No,Yes
,,CRS00003275,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,,,,,,,,,
,STUDY00017733,CRS00003424,,,,,,,,,,,,,,,,,,,100095419,,,No,Interventional,,N/A,No,No,Yes,No,No,No,2017-12-15 08:00:00,2018-12-14 08:00:00,Full Board,2017-12-18 20:17:00,,No,2017-10-05 17:39:20,Yes,Yes
,IRB00011761,CRS00001712,,,,,,,,,,,,,,,,,,,,2015-12-11 08:00:00,2016-07-11 07:00:00,No,Interventional,,N/A,No,No,No,No,Yes,No,2015-07-09 07:00:00,2016-07-08 07:00:00,Expedited,2016-07-09 07:00:00,,No,2015-04-21 09:59:38,No,Yes
,IRB00009130,CRS00000459,,,,,,,,,,,,,,,,,,,,,,No,Interventional,SM.Knight Prostate Program,Phase 1,No,Yes,Yes,Yes,Yes,No,2013-05-21 07:00:00,2015-04-14 07:00:00,Full Board,2015-02-12 16:54:32,2015-02-12 08:00:00,Yes,2012-12-07 17:09:43,,Yes
,STUDY00017788,CRS00003681,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,Yes,No,No,No,,2018-02-27 08:00:00,,2018-01-31 18:17:00,,Yes,2018-01-18 20:18:35,Yes,Yes
,,CRS00003627,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,,,,,,,,,
,IRB00007553,CRS00000631,,,,,,,,,,,,,,,,,,,,,,No,Observational,,N/A,No,Yes,No,No,Yes,No,2011-08-08 07:00:00,2019-03-19 07:00:00,Expedited,2017-11-11 11:50:00,,Yes,2011-06-10 14:18:48,No,No
,IRB00009045,CRS00000604,,,,,,,,,,,,,,,,,,,100097704,,,No,,SM.Peds Hemonc,Phase 1,Yes,Yes,No,Yes,No,No,2012-11-16 08:00:00,2018-07-24 07:00:00,Full Board,2017-11-11 10:46:00,,Yes,2012-10-29 15:01:00,No,No
,,CRS00003563,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,Yes,No,Yes,Yes,No,No,,,,,,,,,
,,CRS00000217,,,,,,,,,,,,,,,,,,,,,,No,Observational,,N/A,No,No,No,No,Yes,No,,,,,,,,,
,IRB00007669,CRS00000287,,,,,,,,,,,,,,,,,,,,,,No,,SM.Knight Clinical Trials,Phase 3,No,Yes,Yes,Yes,No,No,2011-09-09 07:00:00,2019-03-26 07:00:00,Expedited,2017-11-11 12:26:00,,Yes,2011-08-08 11:49:20,No,No
,IRB00004831,CRS00000714,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,Yes,No,No,No,No,2008-10-09 07:00:00,2016-11-09 08:00:00,Expedited,2016-11-09 17:13:00,,No,2008-09-23 13:11:37,No,No
,,CRS00002876,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,Yes,Yes,No,No,,,,,,,,,
,IRB00011262,CRS00002240,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,2016-03-01 08:00:00,2017-02-28 08:00:00,Expedited,2016-03-14 22:55:30,2016-03-14 07:00:00,No,2016-01-29 14:19:50,,Yes
,STUDY00017833,CRS00003528,,,,,,,,,,,,,,,,,,,100095464,,,No,Interventional,,Phase 2,Yes,No,Yes,Yes,No,No,2017-11-15 08:00:00,2018-12-06 08:00:00,Waived,2017-11-15 23:55:00,,Yes,2017-11-04 22:37:01,Yes,Yes
,STUDY00015467,CRS00002141,,,,,,,,,,,,,,,,,,,100096245,,,No,Interventional,,Phase 2,No,No,Yes,Yes,No,No,2016-04-29 07:00:00,2019-03-01 08:00:00,Full Board,2016-04-29 20:06:00,,Yes,2015-12-07 22:50:50,Yes,Yes
,STUDY00015874,CRS00002399,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,2016-05-03 07:00:00,2019-03-07 08:00:00,Expedited,2016-05-03 19:21:00,,Yes,2016-04-19 18:28:17,No,No
,,CRS00002283,,,,,,,,,,,,,,,,,,,,,,No,Interventional,,N/A,No,No,,No,No,No,,,,,,,,,
,STUDY00015058,CRS00001967,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,2015-09-22 07:00:00,2018-07-24 07:00:00,Expedited,2015-09-22 18:49:00,,No,2015-09-01 21:01:02,No,No
,STUDY00015713,CRS00002264,,,,,,,,,,,,,,,,,,,,,,No,Observational,,N/A,No,No,No,No,Yes,No,2016-04-28 07:00:00,2019-02-26 08:00:00,Expedited,2016-04-29 15:38:00,,Yes,2016-02-12 23:14:24,No,Yes
,IRB00010957,CRS00001204,,,,,,,,,,,,,,,,,,,,,,No,Observational,,N/A,No,No,No,No,Yes,No,2014-10-02 07:00:00,2018-07-06 07:00:00,Expedited,2017-11-11 10:47:00,,Yes,2014-09-05 19:08:48,No,No
,IRB00012071,CRS00002045,,,,,,,,,,,,,,,,,,,100095736,,,No,Interventional,,N/A,Yes,No,Yes,Yes,Yes,No,2016-01-29 08:00:00,2019-02-15 08:00:00,Full Board,2017-02-24 18:05:00,,Yes,2015-10-21 11:57:49,Yes,Yes
,IRB00009011,CRS00000785,,,,,,,,,,,,,,,,,,,700009011,,,No,,SM.Neu Stroke,N/A,No,Yes,Yes,No,No,No,2013-03-29 07:00:00,2017-12-05 18:32:00,Expedited,2017-12-05 18:32:00,,No,2012-10-05 13:44:18,No,No
,IRB00011980,CRS00001890,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,Yes,No,Yes,Yes,No,No,,,,2015-10-19 20:26:27,,No,,,Yes
,IRB00011411,CRS00001529,,,,,,,,,,,,,,,,,,,,,,No,Interventional,,N/A,Yes,No,Yes,Yes,No,No,2015-03-06 08:00:00,2018-04-19 07:00:00,Full Board,2016-04-26 18:34:00,,Yes,2015-01-16 22:02:24,Yes,Yes
,,CRS00002814,,,,,,,,,,,,,,,,,,,,,,No,Observational,,N/A,No,No,No,No,No,No,,,,,,,,,
,IRB00011992,CRS00001861,,,,,,,,,,,,,,,,,,,,,,No,Observational,,N/A,No,No,No,No,No,No,2015-08-19 07:00:00,2016-05-13 16:43:00,Expedited,2016-05-13 16:43:00,,No,2015-07-10 16:05:40,No,Yes
,IRB00005156,CRS00000964,,,,,,,,,,,,,,,,,,,100099319,,,No,,,Phase 4,No,Yes,Yes,Yes,No,No,2010-02-12 08:00:00,2019-01-08 08:00:00,Full Board,2018-02-07 03:02:00,,No,2010-01-14 15:49:04,No,No
,IRB00010745,CRS00000613,,,,,,,,,,,,,,,,,,,100097005,,,No,Interventional,,Phase 2,No,No,Yes,Yes,Yes,No,2014-07-01 07:00:00,2019-03-26 07:00:00,Full Board,2017-11-11 12:22:00,,No,2014-06-06 13:13:34,Yes,Yes
,STUDY00018181,CRS00003702,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,2018-01-31 08:00:00,,,2018-01-31 22:59:00,,Yes,2018-01-25 19:03:40,No,No
,,CRS00000979,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,Yes,No,No,No,,,,,,,,,
,IRB00009410,CRS00000262,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,2014-07-01 07:00:00,2017-05-19 07:00:00,Expedited,2017-05-20 07:01:00,,No,2014-03-20 09:38:09,No,Yes
,IRB00008729,CRS00001012,,,,,,,,,,,,,,,,,,,,,,No,Observational,SM.Orthopedics,N/A,No,Yes,No,No,Yes,No,2012-09-04 07:00:00,2014-08-28 07:00:00,Expedited,2014-08-29 06:45:06,,Yes,2012-07-25 08:56:17,,No
,,CRS00002901,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,,,,,,,,,
,IRB00014999,CRS00001913,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,,2016-08-04 07:00:00,Exempt,2015-08-05 20:38:57,,No,,,
,,CRS00001214,,,,,,,,,,,,,,,,,,,,,,No,Interventional,,Phase 3,No,No,,No,No,No,,,,,,,,,
,IRB00010536,CRS00000324,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,2014-04-01 07:00:00,2019-02-22 08:00:00,Expedited,2017-11-11 12:37:00,,No,2014-03-31 10:24:56,No,No
,IRB00008775,CRS00000995,,,,,,,,,,,,,,,,,,,,,,No,Observational,SM.SURG Surgical Oncology,N/A,No,Yes,No,No,Yes,No,2013-01-24 08:00:00,2015-01-22 08:00:00,Full Board,2018-01-04 16:46:13,2018-01-04 08:00:00,Yes,2012-07-23 09:03:09,,No
,IRB00009825,CRS00000574,,,,,,,,,,,,,,,,,,,700009825,,,No,Interventional,,N/A,No,No,Yes,No,Yes,No,2014-12-12 08:00:00,2018-09-21 07:00:00,Full Board,2017-10-16 18:02:00,,No,2014-09-30 13:31:09,No,Yes
,,CRS00002101,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,,,,,,,,,
,IRB00005363,CRS00000424,,,,,,,,,,,,,,,,,,,700005363,,,No,,SM.Dermatology Admin,N/A,No,Yes,Yes,No,No,No,2009-08-17 07:00:00,2019-03-27 07:00:00,Expedited,2017-11-11 12:40:00,,No,2009-05-05 19:12:00,No,No
,STUDY00018216,CRS00003726,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,,,,2018-03-09 22:32:00,,No,2018-02-02 21:33:09,No,Yes
,IRB00010848,CRS00000962,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,2014-07-24 07:00:00,2019-03-11 07:00:00,Expedited,2017-11-11 12:22:00,,No,2014-07-18 10:03:29,No,Yes
,STUDY00015672,CRS00002269,,,,,,,,,,,,,,,,,,,100096055,,,No,Interventional,,,No,No,Yes,Yes,No,No,2016-07-13 07:00:00,2018-05-17 07:00:00,Full Board,2016-07-18 21:33:00,,No,2016-02-16 23:36:17,Yes,Yes
,IRB00007940,CRS00000493,,,,,,,,,,,,,,,,,,,,,,No,,SM.Peds Hemonc,Phase 1,Yes,Yes,Yes,Yes,No,No,2011-12-02 08:00:00,2014-11-17 08:00:00,Full Board,2014-11-04 20:49:13,2014-11-04 08:00:00,Yes,2011-10-25 09:07:00,,Yes
,IRB00012099,CRS00002309,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,Yes,No,No,No,,,,2016-04-29 15:19:58,,Yes,,,Yes
,STUDY00016943,CRS00002974,,,,,,,,,,,,,,,,,,,,,,No,Interventional,,Phase 2,No,No,Yes,Yes,No,No,2017-06-20 07:00:00,2018-05-25 07:00:00,Full Board,2017-06-22 21:13:00,,Yes,2017-02-24 20:16:03,Yes,Yes
,STUDY00015008,CRS00002058,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,2015-11-04 08:00:00,2018-12-06 08:00:00,Expedited,2015-11-04 22:33:00,,No,2015-08-10 20:07:12,No,No
,IRB00009079,CRS00001174,,,,,,,,,,,,,,,,,,,,,,No,Observational,SM.Knight Hematologic Malignancies,N/A,No,Yes,No,No,Yes,No,2012-12-18 08:00:00,2017-11-16 19:28:00,Expedited,2017-11-16 19:28:00,,Yes,2012-10-26 12:46:47,No,No
,,CRS00002682,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,,,,,,,,,
,,CRS00003588,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,,,,,,,,,
,STUDY00016772,CRS00002880,,,,,,,,,,,,,,,,,,,999999999,,,No,Interventional,,Phase 2,Yes,No,Yes,Yes,No,No,2017-02-08 08:00:00,2019-03-14 07:00:00,Waived,2017-02-09 00:03:00,,Yes,2016-12-30 20:32:26,Yes,Yes
,IRB00005606,CRS00001275,,,,,,,,,,,,,,,,,,,,,,No,Observational,SM.Rad Onc Admin,Phase 0,No,Yes,No,No,Yes,No,2009-09-10 07:00:00,2015-06-10 07:00:00,Expedited,2015-06-24 20:11:54,2015-06-24 07:00:00,Yes,2009-07-31 11:26:22,,Yes
,IRB00005492,CRS00000246,,,,,,,,,,,,,,,,,,,100098465,,,No,Observational,SM.Knight Clinical Trials,N/A,No,Yes,Yes,No,Yes,No,2010-03-18 07:00:00,2018-10-04 07:00:00,Full Board,2017-11-11 10:51:00,,Yes,2009-12-18 13:22:33,No,No
,IRB00007240,CRS00000710,,,,,,,,,,,,,,,,,,,100098729,,,No,,SM.Ophth Admin,Phase 1/Phase 2,Yes,Yes,Yes,Yes,No,No,2011-04-14 07:00:00,2018-10-19 07:00:00,Full Board,2017-10-20 21:52:00,,No,2011-03-11 17:26:43,No,No
,IRB00010423,CRS00000123,,,,,,,,,,,,,,,,,,,100095407,,,No,Interventional,,Phase 4,No,No,Yes,Yes,No,No,2014-03-04 08:00:00,2019-02-07 08:00:00,Full Board,2017-11-10 08:01:00,,Yes,2014-01-31 17:09:48,No,Yes
,STUDY00015000,CRS00002001,,,,,,,,,,,,,,,,,,,100096396,,,No,Observational,,N/A,No,No,Yes,Yes,No,No,2015-10-31 07:00:00,2018-09-05 07:00:00,Full Board,2015-11-12 17:30:00,,No,2015-09-25 19:30:12,No,Yes
,STUDY00017650,CRS00003382,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,Yes,No,Yes,Yes,No,No,2017-12-26 08:00:00,2018-10-09 07:00:00,Full Board,2017-12-26 19:46:00,,No,2017-09-15 16:08:47,Yes,Yes
,STUDY00016153,CRS00002543,,,,,,,,,,,,,,,,,,,,,,No,Observational,,N/A,No,No,No,No,Yes,No,2016-07-13 07:00:00,2018-06-12 07:00:00,Expedited,2016-07-13 22:45:00,,Yes,2016-07-01 23:44:23,No,No
,IRB00011557,CRS00001631,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,2015-05-29 07:00:00,2018-04-26 07:00:00,Expedited,2017-11-11 11:44:00,,No,2015-03-12 14:03:12,No,Yes
,,CRS00003216,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,,,,,,,,,
,,CRS00003477,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,,No,No,No,,,,,,,,,
,STUDY00016137,CRS00002652,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,Yes,No,Yes,Yes,No,No,,,,2016-06-10 17:04:00,,No,,Yes,Yes
,STUDY00017520,CRS00003347,,,,,,,,,,,,,,,,,,,,,,No,Observational,,N/A,No,No,No,No,No,No,2017-09-23 07:00:00,2018-09-22 07:00:00,Expedited,2017-09-25 15:18:00,,No,2017-08-31 02:06:46,No,Yes
,IRB00011239,CRS00001447,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,2015-02-08 08:00:00,2018-02-12 17:17:00,Exempt,2018-02-12 17:17:00,,No,2014-12-06 19:34:42,No,Yes
,,CRS00003451,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,,No,No,No,,,,,,,,,
,IRB00009960,CRS00000546,,,,,,,,,,,,,,,,,,,100097334,,,No,,SM.Neu Aging And Alzheimers,Phase 2/Phase 3,Yes,Yes,Yes,Yes,No,No,2013-11-19 08:00:00,2015-11-06 08:00:00,Full Board,2015-12-15 04:58:07,2015-12-14 08:00:00,No,2013-10-07 20:30:20,,Yes
,IRB00006008,CRS00001459,,,,,,,,,,,,,,,,,,,100099289,,,No,,SM.OB/GYN Clinical Research,Phase 3,Yes,Yes,Yes,Yes,No,No,2010-02-26 08:00:00,2018-09-07 07:00:00,Full Board,2017-11-11 10:49:00,,No,2010-02-03 12:20:52,No,No
,IRB00007594,CRS00000349,,,,,,,,,,,,,,,,,,,,,,No,,SM.Knight CHM Clin Trials,N/A,No,Yes,No,No,No,No,2011-08-03 07:00:00,2019-03-11 07:00:00,Expedited,2017-11-11 11:08:00,,Yes,2011-06-21 09:10:57,No,Yes
,IRB00003281,CRS00000910,,,,,,,,,,,,,,,,,,,,,,No,Observational,SM.Path Laboratory Med,N/A,No,Yes,No,No,Yes,No,2006-12-13 08:00:00,2015-10-09 07:00:00,Expedited,2015-08-03 19:08:26,2015-08-03 07:00:00,Yes,2006-11-30 15:29:55,,No
,STUDY00016152,CRS00002546,,,,,,,,,,,,,,,,,,,,,,No,Observational,,N/A,No,No,No,No,Yes,No,2016-07-15 07:00:00,2018-06-21 07:00:00,Expedited,2016-07-15 19:30:00,,Yes,2016-07-06 00:15:01,No,No
,IRB00010337,CRS00001629,,,,,,,,,,,,,,,,,,,700010337,,,No,Observational,,N/A,No,No,Yes,No,No,No,2015-03-16 07:00:00,2018-12-27 08:00:00,Expedited,2017-11-10 08:03:00,,No,2013-12-31 13:05:00,No,Yes
,IRB00005886,CRS00000741,,,,,,,,,,,,,,,,,,,,,,No,Observational,SM.Head & Neck Surgery Division,Phase 0,No,Yes,No,No,Yes,No,2010-04-07 07:00:00,2018-12-12 08:00:00,Expedited,2017-11-09 08:01:00,,Yes,2010-03-05 18:37:26,Yes,No
,STUDY00016104,CRS00002503,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,2016-11-23 08:00:00,2018-11-13 08:00:00,Expedited,2016-11-23 18:20:00,,No,2016-06-12 20:21:52,No,No
,IRB00007214,CRS00001106,,,,,,,,,,,,,,,,,,,,,,No,Observational,SM.Rad Onc Admin,N/A,No,Yes,No,No,Yes,No,2011-03-04 08:00:00,2015-01-21 08:00:00,Expedited,2014-10-28 21:31:37,2014-10-28 07:00:00,Yes,2011-02-15 12:26:50,,No
,,CRS00002549,,,,,,,,,,,,,,,,,,,,,,No,Interventional,,N/A,No,No,,No,No,No,,,,,,,,,
,STUDY00015328,CRS00002164,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,Yes,Yes,No,No,,,,2016-06-07 20:03:00,,No,,Yes,Yes
,STUDY00017648,CRS00003557,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,,,,2018-03-27 17:02:00,,Yes,2017-11-14 23:53:54,No,Yes
,STUDY00015395,CRS00002668,,,,,,,,,,,,,,,,,,,700015395,,,No,Interventional,,Phase 3,No,No,Yes,Yes,No,No,2016-09-16 07:00:00,2018-09-13 07:00:00,Waived,2016-09-16 16:32:00,,Yes,2016-08-23 23:58:09,Yes,Yes
,STUDY00017970,CRS00003584,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,2017-11-30 08:00:00,2018-11-29 08:00:00,Expedited,2017-11-30 18:38:00,,No,2017-11-30 05:41:22,No,No
,IRB00008022,CRS00000721,,,,,,,,,,,,,,,,,,,100097113,,,No,,SM.Peds Hemonc,Phase 2,No,Yes,Yes,Yes,No,No,2012-05-10 07:00:00,2019-01-31 08:00:00,Full Board,2017-11-11 10:58:00,,Yes,2012-03-07 12:44:07,No,No
,STUDY00016988,CRS00002987,,,,,,,,,,,,,,,,,,,,,,No,Observational,,N/A,No,No,No,No,No,No,2017-07-18 07:00:00,2018-07-17 07:00:00,Expedited,2017-07-21 23:24:00,,No,2017-03-04 23:12:59,No,Yes
,STUDY00016014,CRS00002567,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,2016-08-04 07:00:00,2018-06-26 07:00:00,Expedited,2016-08-04 18:47:00,,Yes,2016-07-18 18:57:33,No,No
,STUDY00017102,CRS00003139,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,,,,2017-05-22 15:49:00,,No,2017-05-09 22:32:19,No,No
,IRB00011388,CRS00001460,,,,,,,,,,,,,,,,,,,100096216,,,No,Observational,,N/A,No,No,Yes,Yes,Yes,No,2016-03-04 08:00:00,2019-02-01 08:00:00,Full Board,2017-11-08 18:12:00,,No,2014-12-16 13:16:45,No,Yes
,STUDY00015568,CRS00002631,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,Yes,No,No,No,2016-10-04 07:00:00,2018-09-25 07:00:00,Expedited,2016-10-04 16:31:00,,No,2016-08-11 21:18:07,No,Yes
,IRB00011496,CRS00001599,,,,,,,,,,,,,,,,,,,,,,No,Interventional,,Phase 3,Yes,No,Yes,Yes,No,No,,,Full Board,2015-03-23 19:47:00,,Yes,2015-03-02 13:16:46,,Yes
,IRB00003199,CRS00000249,,,,,,,,,,,,,,,,,,,700003199,,,No,,SM.Knight Clinical Trials,N/A,No,Yes,Yes,No,No,No,2007-01-08 08:00:00,2018-04-20 07:00:00,Waived,2018-01-17 08:15:00,,Yes,2006-10-26 09:09:10,Yes,Yes
,IRB00008657,CRS00000233,,,,,,,,,,,,,,,,,,,100097876,,,No,,SM.Knight Clinical Trials,Phase 3,Yes,Yes,Yes,Yes,No,No,2012-09-21 07:00:00,2018-06-08 07:00:00,Full Board,2017-11-06 04:06:00,,Yes,2012-07-16 17:34:09,Yes,Yes
,IRB00009999,CRS00001018,,,,,,,,,,,,,,,,,,,,,,No,Observational,HC.Inpatient Pharmacy,N/A,No,Yes,No,No,Yes,No,2013-11-05 08:00:00,2014-11-04 08:00:00,Expedited,2014-11-17 22:31:21,2014-11-17 08:00:00,Yes,2013-09-27 11:22:34,,No
,STUDY00018043,CRS00003622,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,Yes,Yes,No,No,,,,2017-12-14 19:18:00,,No,,Yes,Yes
,STUDY00016638,CRS00003125,,,,,,,,,,,,,,,,,,,100095711,,,No,Interventional,,Phase 3,Yes,No,Yes,Yes,No,No,2017-05-12 07:00:00,2018-11-08 08:00:00,Waived,2017-05-12 18:40:00,,Yes,2017-05-03 19:20:25,Yes,Yes
,,CRS00001239,,,,,,,,,,,,,,,,,,,,,,No,Interventional,,Phase 2,No,No,,No,No,No,,,,,,,,,
,,CRS00003669,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,,,,,,,,,
,IRB00011713,CRS00001879,,,,,,,,,,,,,,,,,,,,,,No,Observational,,N/A,No,No,No,No,Yes,No,2015-08-20 07:00:00,2018-07-06 07:00:00,Expedited,2017-11-11 11:38:00,,Yes,2015-06-19 13:33:34,No,No
,STUDY00017654,CRS00003464,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,2017-11-10 08:00:00,2018-11-09 08:00:00,Expedited,2017-11-11 00:46:00,,No,2017-10-17 01:27:52,No,Yes
,IRB00006853,CRS00000494,,,,,,,,,,,,,,,,,,,100097696,,,No,,SM.Peds Hemonc,Phase 1,No,Yes,Yes,Yes,No,No,2013-01-10 08:00:00,2015-12-18 08:00:00,Full Board,2015-12-07 19:43:11,2015-12-07 08:00:00,Yes,2012-12-12 10:23:32,,Yes
,IRB00007311,CRS00000500,,,,,,,,,,,,,,,,,,,100098275,,,No,,SM.Neurosurgery Research,Phase 3,Yes,Yes,Yes,Yes,No,No,2011-07-19 07:00:00,2017-02-23 08:00:00,Full Board,2016-08-09 21:14:09,2016-08-09 07:00:00,No,2011-05-04 09:08:03,,Yes
,STUDY00017366,CRS00003328,,,,,,,,,,,,,,,,,,,,,,No,,,N/A,No,No,No,No,No,No,2017-10-02 07:00:00,2018-10-01 07:00:00,Expedited,2017-10-02 21:52:00,,No,2017-08-16 17:46:41,No,Yes
