"Project ID","Project PI: Full Name","OCTRI Project Status Change Date","Project Long Title","OCTRI Project Status","CTRC Status","Project Funding ID","Funding Award: Funding Award ID","Funding Award: Funding Source Name","Funding Award: Activity Type","Funding Award: Funding Type","Funding Award: Funding Status","Funding Award: Record Type","Funding Award: Reason OGA Not Set Up","Funding Award: Award Owning Org","Funding Award: OGA Award Number","Funding Award: Originating Sponsor","Funding Award: Originating Sponsor Type"
"PRJ-11907","Marc Loriaux","1/18/2013","A Phase II pilot study of kinase inhibition in relapsed/refractory acute leukemias: Using a comprehensive in vitro kinase inhibitor panel to select individualized, targeted therapies","Approved Post-IRB","N/A No CTRC Services","ProjFund-4716","FA-06230","Celator Pharmaceuticals, Inc.","","Industry","Awarded","OGA Award","","SM.Knight Hem/Onc CHM","AHEMA0207","",""
"PRJ-11907","Marc Loriaux","1/18/2013","A Phase II pilot study of kinase inhibition in relapsed/refractory acute leukemias: Using a comprehensive in vitro kinase inhibitor panel to select individualized, targeted therapies","Approved Post-IRB","N/A No CTRC Services","ProjFund-4719","FA-08295","Constellation Pharmaceuticals","","Industry","Awarded","OGA Award","","SM.Knight Leukemia Center","ACNCR0594","",""
"PRJ-11907","Marc Loriaux","1/18/2013","A Phase II pilot study of kinase inhibition in relapsed/refractory acute leukemias: Using a comprehensive in vitro kinase inhibitor panel to select individualized, targeted therapies","Approved Post-IRB","N/A No CTRC Services","ProjFund-4726","FA-08358","Array BioPharma Inc","","Industry","Awarded","OGA Award","","SM.Knight Leukemia Center","ACNCR0595","",""
"PRJ-11907","Marc Loriaux","1/18/2013","A Phase II pilot study of kinase inhibition in relapsed/refractory acute leukemias: Using a comprehensive in vitro kinase inhibitor panel to select individualized, targeted therapies","Approved Post-IRB","N/A No CTRC Services","ProjFund-5728","FA-09847","ARIAD Pharmaceuticals Inc","","Industry","Awarded","OGA Award","","SM.Knight CHM Clin Trials","ACNCR0698","",""
"PRJ-11907","Marc Loriaux","1/18/2013","A Phase II pilot study of kinase inhibition in relapsed/refractory acute leukemias: Using a comprehensive in vitro kinase inhibitor panel to select individualized, targeted therapies","Approved Post-IRB","N/A No CTRC Services","ProjFund-5730","FA-09670","Millennium Pharmaceuticals Inc","","Industry","Awarded","OGA Award","","SM.Knight Leukemia Center","ACNCR0685","",""
"PRJ-11907","Marc Loriaux","1/18/2013","A Phase II pilot study of kinase inhibition in relapsed/refractory acute leukemias: Using a comprehensive in vitro kinase inhibitor panel to select individualized, targeted therapies","Approved Post-IRB","N/A No CTRC Services","ProjFund-5733","FA-09313","arGEN-X NV","","Foreign Industry","Awarded","OGA Award","","SM.Knight Leukemia Center","ACNCR0660","",""
"PRJ-11907","Marc Loriaux","1/18/2013","A Phase II pilot study of kinase inhibition in relapsed/refractory acute leukemias: Using a comprehensive in vitro kinase inhibitor panel to select individualized, targeted therapies","Approved Post-IRB","N/A No CTRC Services","ProjFund-5732","FA-09859","Agios Pharmaceuticals Inc","","Industry","Awarded","OGA Award","","SM.Knight Leukemia Center","ACNCR0700","",""
"PRJ-11907","Marc Loriaux","1/18/2013","A Phase II pilot study of kinase inhibition in relapsed/refractory acute leukemias: Using a comprehensive in vitro kinase inhibitor panel to select individualized, targeted therapies","Approved Post-IRB","N/A No CTRC Services","ProjFund-5729","FA-09699","AstraZeneca UK Ltd","","Industry","Awarded","OGA Award","","SM.Knight Leukemia Center","ACNCR0687","",""
"PRJ-11907","Marc Loriaux","1/18/2013","A Phase II pilot study of kinase inhibition in relapsed/refractory acute leukemias: Using a comprehensive in vitro kinase inhibitor panel to select individualized, targeted therapies","Approved Post-IRB","N/A No CTRC Services","ProjFund-5731","FA-09303","Genentech Inc","","Industry","Awarded","OGA Award","","SM.Knight Leukemia Center","ACNCR0658","",""
"PRJ-10007","Martha Neuringer","3/28/2008","Effect of Three Different Doses of a New Infant Formula Ingredient in S-26 Gold on Infant Serum Concentration and Visual Function (Protocol: 9041A1-901-US)","Complete","N/A No CTRC Services","ProjFund-1599","FA-07748","Wyeth Nutritionals Inc","","Industry","Awarded","OGA Award","","","APRC00669","",""
"PRJ-11298","Martha Neuringer","2/16/2010","Genetics of a Primate Model for Age-Related Maculopathy","Complete","Terminated","ProjFund-2078","FA-06699","American Health Assistance Foundation","Need to Determine","Foundation","Awarded - Linked to OGA Award","Non-OGA Award","","","","",""
"PRJ-11298","Martha Neuringer","2/16/2010","Genetics of a Primate Model for Age-Related Maculopathy","Complete","Terminated","ProjFund-4670","FA-04894","DHHS NIH Natl Eye Inst","R01","Federal DHHS LOC","Awarded","OGA Award","","PC.Research Neuro","ACAEI0281","",""
"PRJ-4140","Clare Wilhelm","12/3/2012","Role of Neuroinflammation in Behavioral Deficits Resulting from Chronic Alcohol","Approved Pre-IRB","N/A No CTRC Services","ProjFund-3823","FA-07397","U.S. Dept of Veterans Affairs","Career Development Award","Federal","Awarded","Non-OGA Award","External - tracking financial","","","",""
"PRJ-10012","Clare Wilhelm","6/14/2007","The effect of multiple polymorphisms within the dopamine system on impulsivity and their prevalence in stimulant addicts","Complete","N/A No CTRC Services","ProjFund-1758","FA-06860","DHHS NIH Natl Ctr for Rsch Resources","UL1","Federal","Not Awarded","Non-OGA Award","","","","",""
"PRJ-10880","Clare Wilhelm","7/30/2009","Brain activity, addiction and impulsivity due to complex genetic interactions","Complete","Terminated","ProjFund-3756","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-10028","James Pankow","7/31/2009","Analysis of Human Lung Tissues for Tobacco Smoke Residues","Complete","N/A No CTRC Services","ProjFund-3704","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-1072","Carol Marquez","3/5/2009","A Feasibility Study for Relaxation-Visualization Therapy for Breast Cancer Patients","Complete","N/A No CTRC Services","ProjFund-3751","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-10447","Martine Mientjes","12/18/2008","Development of running (draft title)","Complete","","ProjFund-1126","FA-07281","Nike Sports Research Lab","Not Applicable","Industry","Not Awarded","Non-OGA Award","","","","",""
"PRJ-5756","Esther Choo","8/29/2016","A computer-based intervention for women with substance use and IPV in the ED","Proposal Development","N/A No CTRC Services","ProjFund-5846","FA-10357","DHHS NIH Natl Inst on Drug Abuse","K23","Federal DHHS Individual Draw","Awarded","OGA Award","","SM.Emergency Medicine","AEMME0177","",""
"PRJ-5960","Esther Choo","2/17/2017","Cannabis Use & the Risk of Motor Vehicle Collision","Approved Post-IRB","N/A No CTRC Services","ProjFund-6092","FA-11030","Insurance Institute for Highway Safety","","Foundation","Pre-Award","Non-OGA Award","","","","",""
"PRJ-11127","Bronwyn Hamilton","11/25/2009","7T MRI Evaluation of Focal Epilepsy","Complete","N/A No CTRC Services","ProjFund-2011","FA-07176","National Institutes of Health - unknown institute","B09","Federal","Not Awarded","Non-OGA Award","","","","",""
"PRJ-10400","Alvin Eisner","4/14/2009","Effect of breast cancer on vision (draft title)","Complete","N/A No CTRC Services","ProjFund-2027","FA-07185","National Institutes of Health - unknown institute","B09","Federal","Not Awarded","Non-OGA Award","","","","",""
"PRJ-1060","Alvin Eisner","4/10/2008","Effect of low estrogen on visual function and ocular anatomy","Complete","Terminated","ProjFund-1394","FA-07029","Oregon Health & Science Univ","Need to Determine","Internal","Not Awarded","Non-OGA Award","","","","",""
"PRJ-11501","Chaim Vanek","4/17/2010","A Parallel, Placebo-controlled, Randomized (2:1) Double-blind, Study of One Year Duration to Assess the Effect of Oral Ibandronate 150 mg once-monthly versus placebo on Lumbar Spine Bone Mineral Density in Men with Osteoporosis","Complete","N/A No CTRC Services","ProjFund-2263","FA-01148","GlaxoSmithKline LLC","","Industry","Awarded","OGA Award","","SM.Endocrinology, Section of Bone & Mineral","AEDCN0193","",""
"PRJ-5372","Diana Rinkevich","8/23/2016","The Effect of Menopausal State on Eicosanoids","Approved Post-IRB","Active","ProjFund-5746","FA-04753","Bechen Family Foundation","","Foundation","Awarded","OGA Award","","SM.KCVI Research","ACARD0117","",""
"PRJ-5372","Diana Rinkevich","8/23/2016","The Effect of Menopausal State on Eicosanoids","Approved Post-IRB","Active","ProjFund-5747","FA-05195","Alpha Phi Foundation","","Foundation","Awarded","OGA Award","","SM.KCVI Research","ACARD0167","",""
"PRJ-11130","Diane Howieson","11/25/2009","Mild Cognitive Impairment (MCI) Change Point","Complete","N/A No CTRC Services","ProjFund-3114","FA-07175","National Institutes of Health - unknown institute","B09","Federal","Not Awarded","Non-OGA Award","","","","",""
"PRJ-10454","Katherine Bradley","1/21/2009","Oregon Genomics Surveillance Program: Translation of Genomics Applications into Health Practice","Complete","N/A No CTRC Services","ProjFund-1131","FA-07491","Office of Genomics and Disease Prevention, CDC","U38","Federal","Awarded","Non-OGA Award","External - not tracking financial","","","",""
"PRJ-10456","Nupur Pande","4/13/2009","Initial pilot study, genes and cancer (draft title)","Complete","N/A No CTRC Services","ProjFund-1140","FA-07046","Oregon Health & Science Univ","Could Not Determine","Internal","Not Awarded","Non-OGA Award","","","","",""
"PRJ-5929","Sonemany Salinthone","1/26/2017","Effects of Lipoic Acid on Osteoarthritis","Proposal Development","N/A No CTRC Services","ProjFund-6057","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-2364","Sonemany Salinthone","5/9/2013","Comparative analyses of lipoic acid and vitamin D as immunomodulators in MS","Withdrawn","","ProjFund-2951","FA-07327","Veterans Administration","Not Applicable","Federal","Not Awarded","Non-OGA Award","","","","",""
"PRJ-4105","Sonemany Salinthone","1/13/2016","PVAMC/OHSU: Elucidating the Mechanisms that Mediate the Effects of Lipoic Acid in Multiple Sclerosis","Approved Post-IRB","Active","ProjFund-3781","FA-07927","Veterans Administration","I01","Federal","Awarded","Non-OGA Award","External - tracking financial","","","",""
"PRJ-5849","Sonemany Salinthone","11/7/2016","Exploring mechanisms of action of lipoic acid, an endogenously-produced natural antioxidant, for the treatment of progressive multiple sclerosis","Proposal Development","Pending","ProjFund-6239","FA-11380","National MS Society","","Foundation","Pre-Award","Non-OGA Award","","","","",""
"PRJ-5849","Sonemany Salinthone","11/7/2016","Exploring mechanisms of action of lipoic acid, an endogenously-produced natural antioxidant, for the treatment of progressive multiple sclerosis","Proposal Development","Pending","ProjFund-5917","FA-10777","DHHS NIH Natl Ctr for Complementary & Integrative Health","R61/R33","Federal NIH","Pre-Award","Non-OGA Award","","","","",""
"PRJ-10463","Jack Simon","1/9/2009","Magnetic Resonance Imaging Markers of Mild Traumatic Brain Injury","Complete","N/A No CTRC Services","ProjFund-1143","FA-07433","Veterans Administration","Need to Determine","Federal","Awarded","Non-OGA Award","External - tracking financial","","","",""
"PRJ-4461","Scott Mist","10/24/2013","Taiji Quan for Veterans with Chronic Pain","Proposal Development","Pending","ProjFund-4181","FA-06839","DHHS NIH Natl Ctr for Complementary & Al","R34","Federal","Not Awarded","Non-OGA Award","","","","",""
"PRJ-4314","Scott Mist","3/25/2014","Anti-inflammatory effects of acupuncture in reducing fibromyalgia symptoms","Complete","N/A No CTRC Services","ProjFund-4369","FA-06836","DHHS NIH Natl Ctr for Complementary & Al","K23","Federal","Not Awarded","Non-OGA Award","","","","",""
"PRJ-10467","Scott Mist","2/2/2016","Traditional Chinese Medicine for Fibromyalgia: A Whole Systems Trial.","Approved Post-IRB","Terminated","ProjFund-1850","FA-01103","DHHS NIH Natl Ctr for Complementary & Integrative Health","K23","Federal DHHS LOC","Awarded","OGA Award","","SN.Nursing Research Instruction","ASONO0319","",""
"PRJ-6085","Andrea Smeraglio","6/15/2017","Quality improvement national survey","Proposal Development","N/A No CTRC Services","ProjFund-6216","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-2065","Anh Nguyen-Huynh","2/6/2013","","Withdrawn","","ProjFund-2803","FA-06984","DHHS NIH Natl Inst on Deafness & Other Com Disorders","R21","Federal","Not Awarded","Non-OGA Award","","","","",""
"PRJ-2065","Anh Nguyen-Huynh","2/6/2013","","Withdrawn","","ProjFund-2802","FA-06987","DHHS NIH Natl Inst on Deafness & Other Com Disorders","R33","Federal","Not Awarded","Non-OGA Award","","","","",""
"PRJ-4497","Anh Nguyen-Huynh","10/31/2013","CHEER - NIDCD R21/R33 Phased Infrastructure Grant for Patient-Oriented Research","Approved Pre-IRB","Pending","ProjFund-4229","FA-03810","Duke Univ.","","Federal DHHS NON LOC","Awarded","OGA Award","","SM.Otol Research","AOTOL0206","DHHS NIH Natl Inst on Deafness & Other Com Disorders","Federal"
"PRJ-2030","Anh Nguyen-Huynh","4/11/2016","A Prospective, Randomized, Double-Blind, Placebo-Controlled, Multicenter, Phase 2b Study of OTO-104 Given as a Single Intratympanic Injection in Subjects with Unilateral Meniere's Disease.","Complete","Terminated","ProjFund-2765","FA-06421","Otonomy","","Industry","Awarded","OGA Award","","SM.Otology/Neurology/Skull Base Division","AOTOL0259","",""
"PRJ-11152","Anh Nguyen-Huynh","11/25/2009","OMAG Human Study of Volumetric Imaging in Cochlea","Complete","N/A No CTRC Services","ProjFund-4821","FA-00127","Univ. of Washington","","Federal DHHS NON LOC","Awarded","OGA Award","","SM.Otol Research","AOTOL0198","DHHS NIH Natl Inst on Deafness & Other Com Disorders","Federal"
"PRJ-11152","Anh Nguyen-Huynh","11/25/2009","OMAG Human Study of Volumetric Imaging in Cochlea","Complete","N/A No CTRC Services","ProjFund-2005","FA-06983","DHHS NIH Natl Inst on Deafness & Other Com Disorders","R01","Federal","Awarded - Linked to OGA Award","Non-OGA Award","N/A","","","",""
"PRJ-1012","Anh Nguyen-Huynh","2/7/2014","The Role of the Endolymphatic Sac in Meniere's Disease","Complete","Terminated","ProjFund-1275","FA-01232","DHHS NIH Natl Ctr for Rsch Resources","KL2","Federal DHHS LOC","Awarded","OGA Award","","CT.OCTRI-OR Clin Trans Res Ins","ACTRI0303","",""
"PRJ-11696","Anh Nguyen-Huynh","12/8/2015","Ossicle vibration measurement in conductive hearing loss","Complete","N/A No CTRC Services","ProjFund-3927","FA-05055","DHHS NIH Natl Inst on Deafness & Other Com Disorders","R01","Federal DHHS LOC","Awarded","OGA Award","","SM.Biomedical Engineering","ABMEN0199","",""
"PRJ-11696","Anh Nguyen-Huynh","12/8/2015","Ossicle vibration measurement in conductive hearing loss","Complete","N/A No CTRC Services","ProjFund-2413","FA-07252","National Institutes of Health - unknown institute","R01","Federal","Not Submitted","Non-OGA Award","","","","",""
"PRJ-10082","Anh Nguyen-Huynh","8/3/2007","Restoration of Balance after Surgery for Acoustic Neuroma","Complete","N/A No CTRC Services","ProjFund-3440","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-2690","Anh Nguyen-Huynh","11/10/2011","A Double-Blind, Randomized, Placebo-cControlled, Single-Dose, Crossover Study of the Safety and Efficacy of Two Fixed Doses of PF-049558242 in Subjects with Age-Related sensorineural Hearing Loss","Complete","Terminated","ProjFund-2992","FA-07075","Pfizer Inc","Not Applicable","Industry","Not Awarded","Non-OGA Award","","","","",""
"PRJ-4616","Anh Nguyen-Huynh","2/26/2016","Efficacy and Safety of AM-101 in the Treatment of Acute Peripheral Tinnitus 2 (TACTT2)","Complete","Terminated","ProjFund-4394","FA-07114","Auris Medical Inc.","Not Applicable","Industry","Awarded - Linked to OGA Award","Non-OGA Award","N/A","","","",""
"PRJ-4616","Anh Nguyen-Huynh","2/26/2016","Efficacy and Safety of AM-101 in the Treatment of Acute Peripheral Tinnitus 2 (TACTT2)","Complete","Terminated","ProjFund-5037","FA-08670","Auris Medical Inc","Not Applicable","Industry","Awarded","OGA Award","","SM.Otology/Neurology/Skull Base Division","AOTOL0270","",""
"PRJ-4617","Anh Nguyen-Huynh","10/27/2015","AM-101 in the Post-Acute Treatment of Peripheral Tinnitus 1 (AMPACT1) - an open-labe extension to the TACTT2 study","Complete","N/A No CTRC Services","ProjFund-4395","FA-07113","Auris Medical Inc.","Not Applicable","Industry","Awarded - Linked to OGA Award","Non-OGA Award","N/A","","","",""
"PRJ-4617","Anh Nguyen-Huynh","10/27/2015","AM-101 in the Post-Acute Treatment of Peripheral Tinnitus 1 (AMPACT1) - an open-labe extension to the TACTT2 study","Complete","N/A No CTRC Services","ProjFund-5157","FA-08670","Auris Medical Inc","Not Applicable","Industry","Awarded","OGA Award","","SM.Otology/Neurology/Skull Base Division","AOTOL0270","",""
"PRJ-6201","Christina Nicolaidis","9/25/2017","Examining the Narratives of Military Sexual Trauma(MST)","Approved Pre-IRB","N/A No CTRC Services","ProjFund-6344","FA-11516","DHHS NIH Natl Ctr for Advancing Translational Sciences","TL1","Federal DHHS Individual Draw","Awarded","OGA Award","","CT.OCTRI-OR Clin Trans Res Ins","ACTRI1202","",""
"PRJ-3290","Christina Nicolaidis","6/29/2013","Disability and violence: barriers to help-seeking behaviors and their impact on physical and mental health after abuse","Complete","N/A No CTRC Services","ProjFund-3407","FA-04208","DHHS Agency for Hlthcare Rsch and Quality","T32","Federal DHHS LOC","Awarded","OGA Award","","SM.Medical Informatics & Clinical Epidemiology","ASMMI0099","",""
"PRJ-2084","Christina Nicolaidis","12/31/2010","Developing an Abuse-Sensitive Depression Care Model","Complete","N/A No CTRC Services","ProjFund-2829","FA-01758","DHHS NIH Natl Inst of Mental Hlth","K23","Federal DHHS LOC","Awarded","OGA Award","","SM.GNM Administration","AINTR0028","",""
"PRJ-10851","Christina Nicolaidis","10/20/2015","Community Based Participatory Research to Improve the Health Care of Autistic Adults","Complete","N/A No CTRC Services","ProjFund-1542","FA-01605","DHHS NIH Natl Ctr for Rsch Resources","UL1","Federal DHHS LOC","Awarded","OGA Award","","CT.OCTRI-OR Clin Trans Res Ins","ACTRI0301","",""
"PRJ-11274","Christina Nicolaidis","1/12/2010","Exercise promotion to reduce depression in an African American Community","Complete","N/A No CTRC Services","ProjFund-2055","FA-07193","National Institutes of Health - unknown institute","R01","Federal","Not Awarded","Non-OGA Award","","","","",""
"PRJ-3561","Christina Nicolaidis","10/21/2016","Research on the Acceptability and Feasibility of a Community-Based Wellness Program to Reduce Depression in African-Americans","Post Termination","N/A No CTRC Services","ProjFund-3463","FA-04100","DHHS NIH Natl Ctr for Rsch Resources","UL1","Federal DHHS LOC","Awarded","OGA Award","","CT.OCTRI-OR Clin Trans Res Ins","ACTRI0601","",""
"PRJ-2042","Bill Chang","6/15/2010","To Understand the Mechanisms of Resistance and to Develop New Targets for Therapy in Pediatric Ph+ Acute Lymphoblastic Leukemia?","Complete","N/A No CTRC Services","ProjFund-3100","FA-06929","DHHS NIH Natl Inst of Child Hlth & Human Dvlp","K12","Federal","Awarded - Linked to OGA Award","Non-OGA Award","N/A","","","",""
"PRJ-2042","Bill Chang","6/15/2010","To Understand the Mechanisms of Resistance and to Develop New Targets for Therapy in Pediatric Ph+ Acute Lymphoblastic Leukemia?","Complete","N/A No CTRC Services","ProjFund-2780","FA-01805","St. Baldrick's Foundation","","Foundation","Awarded","OGA Award","","SM.Pediatric Hemonc","APEDI0465A","",""
"PRJ-2042","Bill Chang","6/15/2010","To Understand the Mechanisms of Resistance and to Develop New Targets for Therapy in Pediatric Ph+ Acute Lymphoblastic Leukemia?","Complete","N/A No CTRC Services","ProjFund-4826","FA-04013","DHHS NIH Natl Inst of Child Hlth & Human Dvlp","K12","Federal DHHS LOC","Awarded","OGA Award","","SM.Pediatric Research","APEDI0410","",""
"PRJ-5853","Bill Chang","11/8/2016","TACL Consortium - T2012-002: A Pilot Study of Vincristine Sulfate Liposome Injection (Marqibo®) in Combination with UK ALL R3 Induction Chemotherapy for Children, Adolescents, and Young Adults with Relapse of ALL (IND128316)","Approved Pre-IRB","N/A No CTRC Services","ProjFund-5920","FA-10783","Children's Hospital Los Angeles","","Medical Center/Hospital","Pre-Award","Non-OGA Award","","","","",""
"PRJ-5852","Bill Chang","11/8/2016","TINI: TOTAL THERAPY FOR INFANTS WITH ACUTE LYMPHOBLASTIC LEUKEMIA (ALL) - I","Approved Pre-IRB","N/A No CTRC Services","ProjFund-5919","FA-10782","St. Jude Children's Rsch Hospital","","Medical Center/Hospital","Pre-Award","Non-OGA Award","","","","",""
"PRJ-4557","Brian Druker","1/23/2014","OHSU Knight Cancer Institute","Approved Post-IRB","N/A No CTRC Services","ProjFund-4296","FA-05662","DHHS NIH Natl Cancer Inst","P30","Federal DHHS LOC","Awarded","OGA Award","","SM.Knight Cancer Institute","ACNCR0356","",""
"PRJ-4194","Brian Druker","1/14/2013","Chronic Myelogenous Leukemia and BCR-ABL Substrates","Approved Non-IRB","N/A No CTRC Services","ProjFund-3881","FA-05023","DHHS NIH Natl Cancer Inst","R37","Federal DHHS LOC","Awarded","OGA Award","","SM.Knight Cancer Institute","ACNCR0343","",""
"PRJ-11451","Brian Druker","3/16/2012","Specialized Center of Research in Myeloid Leukemias","Complete","N/A No CTRC Services","ProjFund-2226","FA-03164","Leukemia and Lymphoma Society","","Foundation","Awarded","OGA Award","","SM.Knight Hem/Onc CHM","AHEMA0151","",""
"PRJ-3281","Brian Druker","8/9/2013","New therapeutic targets in gastrointestinal stromal tumor","Complete","N/A No CTRC Services","ProjFund-3399","FA-06244","DHHS NIH Natl Ctr for Advancing Translational Sciences","TL1","Federal DHHS LOC","Awarded","OGA Award","","CT.OCTRI-OR Clin Trans Res Ins","ACTRI0702","",""
"PRJ-4136","Michael Mauro","12/31/2012","Treatment Patterns and Associated Outcomes in Chronic Phase (CP) CML Patients who Fail Imatinib 400 mg Daily (Observational Study Protocol CA 180-240 ST)","Withdrawn","","ProjFund-3817","FA-03927","Bristol-Myers Squibb Company","","Industry","Awarded","OGA Award","","SM.Knight CHM Clin Trials","ACNCR0339","",""
"PRJ-2082","Michael Mauro","5/13/2013","A single-arm dose-finding phase Ib multicenter study of the oral Smoothened antagonist LDE225 in combination with nilotinib in chronic phase chronic myeloid leukemia patients who have failed prior therapy with other BCR-ABL tyrosine-kinase inhibitors","Complete","Terminated","ProjFund-2823","FA-04909","Novartis Pharmaceuticals Corporation","","Industry","Awarded","OGA Award","","SM.Knight CHM Clin Trials","ACNCR0375","",""
"PRJ-11904","Michael Mauro","4/8/2011","Studying Interventions for Managing Patients with Chronic Myeloid Leukemia in Chronic Phase: The 5-Year Prospective Cohort Study (SIMPLICITY)","Complete","N/A No CTRC Services","ProjFund-2721","FA-03529","Bristol-Myers Squibb Company","","Industry","Awarded","OGA Award","","SM.Knight CHM Clin Trials","ACNCR0374","",""
"PRJ-11770","Michael Mauro","3/16/2012","A single-arm, open-label, multi-center study of complete molecular response (CMR) in adult patients with newly diagnosed Philadelphia chromosome positive (Ph+) chronic myelogenous leukemia in chronic phase (CML-CP)","Complete","N/A No CTRC Services","ProjFund-2485","FA-00712","Novartis Pharmaceuticals Corporation","","Industry","Awarded","OGA Award","","SM.Knight CHM Clin Trials","ACNCR0355","",""
"PRJ-11707","Michael Mauro","10/4/2010","A Pivotal Phase 2 Trial of Ponatinib (AP24534) in Patients with Refractory Chronic Myeloid Leukemia and Ph+ Acute Lymphoblastic Leukemia","Complete","N/A No CTRC Services","ProjFund-2425","FA-00482","ARIAD Pharmaceuticals Inc","","Industry","Awarded","OGA Award","","SM.Knight CHM Clin Trials","ACNCR0342","",""
"PRJ-2784","Robert Hendrickson","4/12/2012","Factors Associated with Coagulopathy in Salicylate Toxicity","Complete","N/A No CTRC Services","ProjFund-3192","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-4664","John Holland","4/28/2017","Image-guided radiation therapy use in the US","Complete","N/A No CTRC Services","ProjFund-4390","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-4406","Andreas Lauer","4/29/2016","Pilot Study of OCT Angiography versus Fluorescein Angiography in assessing Retinal Perfusion in Diabetic Macular Edema","Complete","N/A No CTRC Services","ProjFund-4100","FA-01701","DHHS NIH Natl Ctr for Advancing Translational Sciences","UL1","Federal DHHS LOC","Awarded","OGA Award","General Ledger Account ? Strategic Investment","CT.OCTRI-OR Clin Trans Res Ins","ACTRI0701","",""
"PRJ-11600","John Paul Hosom","5/12/2010","Detection of Early Cognitive Decline through Computerized Automated Assessments","Complete","N/A No CTRC Services","ProjFund-2338","FA-07328","National Institutes of Health - unknown institute","R01","Federal","Not Submitted","Non-OGA Award","","","","",""
"PRJ-11297","Catherine Markin","1/27/2010","Aries-3:  A Phase 3, Long-term, open-label, multicenter safety and efficacy study of Ambrisentan in subjects with pulmonary hypertension","Complete","N/A No CTRC Services","ProjFund-2076","FA-02242","Gilead Colorado, Inc.","","Industry","Awarded","OGA Award","","SM.PUL Administration","APULM0106","",""
"PRJ-10667","Catherine Markin","11/2/2011","The OHSU Pulmonary Hypertension Program Database","Withdrawn","","ProjFund-3188","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-5017","Kenneth Kolbeck","10/2/2017","Transarterial Embolizations for the Management of Hepatic Lesions Data Base","Approved Pre-IRB","N/A No CTRC Services","ProjFund-4843","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-11679","Kasra Karamlou","8/10/2010","AN OPEN-LABEL, MULTICENTER, RANDOMIZED, PHASE III STUDY TO INVESTIGATE THE EFFICACY AND SAFETY OF BENDAMUSTINE COMPARED WITH BENDAMUSTINE RO5072759 (GA101) IN PATIENTS WITH RITUXIMAB-REFRACTORY, INDOLENT NON-HODGKIN?S LYMPHOMA","Complete","N/A No CTRC Services","ProjFund-2406","FA-04780","Genentech Inc","","Industry","Awarded","OGA Award","","SM.Knight Comm Onc Clin Trials","ACNCR0335","",""
"PRJ-4379","Neil Swanson","8/11/2013","A Randomized, Double-Blind, Placebo-Controlled, Phase II Study to Assess the Efficacy and Safety of Oral Vismodegib for the Treatment of Basal Cell Carcinoma Preceeding Excision by Mohs Micrographic Surgery","Complete","N/A No CTRC Services","ProjFund-4289","FA-06758","Hoffmann-La Roche Inc","Not Applicable","Industry","Not Awarded","Non-OGA Award","","","","",""
"PRJ-11507","Neil Swanson","4/17/2010","A Phase 3, Multicenter, Open-Label Extension Study to Assess the Long-Term Safety of Repeat Administrations of Reloxin in the Treatment of Glabellar Lines","Complete","N/A No CTRC Services","ProjFund-2269","FA-03457","Medicis Pharmaceutical Corp.","","Industry","Awarded","OGA Award","","SM.Dermatology Admin","ADERM0113","",""
"PRJ-4683","Emanuel Tanne","5/6/2014","Intracranial Hypertension Registry IHR 7476-APRIL 2005","Approved Post-IRB","N/A No CTRC Services","ProjFund-4800","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-5316","Curtis Thompson","9/4/2015","CD123+ in lupus vs lichen planopilaris (LPP)","Approved Pre-IRB","N/A No CTRC Services","ProjFund-5311","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-5318","Curtis Thompson","9/4/2015","CD3 in alopecia areata (AA) vs female pattern hair loss (FPHL)","Approved Pre-IRB","N/A No CTRC Services","ProjFund-5312","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-11059","Maureen Mays","10/14/2009","A Phase 2 Randomized, Double-Blind, Dose-Response Efficacy and Safety Study of SCH 900271 Compared to Placebo in Subjects with Primary Hypercholesterolemia (Familial and Nonfamilial) or Mixed Hypelipidemia (Phase 2b, Protocol No. P05675)","Withdrawn","","ProjFund-1849","FA-00763","Schering-Plough Rsch Inst","","Industry","Awarded","OGA Award","","SM.KCVI Cardiology","ACARD0148","",""
"PRJ-11346","Jose Rueda","3/3/2010","Prevalence of Hyperoxaluria: RYGB vs. LAGB","Complete","N/A No CTRC Services","ProjFund-3730","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
